,0,1,2,3
0,Venkateshwar Hospital,Delhi,Absolutely fantastic hospital came to emergency room. Nurses are wonderful.  Highly impressed with this hospital. We live nearby and shall be using their facility if ever needed. Five stars.,2.999999985
0,Indraprastha Apollo Hospital,Delhi,Visited this Hospital to see someone so cant really comment on the quality of Staff there but would review the ambience in general.Huge five stars property neat and clean. Ample free parking space stretchers and wheel chairs available at entrance main gate to ferry the patients.Separate seating space for International patients. Multiple billing desks and pharmacies.This Hospital is house to many eateries viz Haldiram Cafe Coffee Day etc a gift shop as well. Separate room to handle Insurance Corporate customers (read patients please). Various in house places are well marked and lit. However couldnt see enough water dispensers for free drinking water. (May refer few attached pictures),2.999999978
0,Cloudnine Hospital - Chennai,Chennai,One of the best hospital in chennai. Had a normal delivery 2 weeks before. Thank you Nazeera maam for your valuable service. Had a normal delivery only because of you.Hospital is very neat and calm with homely feel. Nurses  housekeeping canteen people everyone are very responsible. Hospital has got all required facilities . We are happy with overall experience.I recommend the hospital.Thank you Cloudnine for your service.,2.999999948
0,AMRI Hospital Mukundapur,Kolkata,My cousin has cholesterol problems and one day he had a minor stroke. We needed to take him to the hospital. He was in emergency for a one day before he was admitted for a week. The doctors did everything they could to change his condition in a quick time. They are very experienced and handle critical patients with good care. My cousin is quite well today and whenever he faces any problem we visit AMRI hospitals.      Thanks AMRI,2.899999991
0,Venkateshwar Hospital,Delhi,This hospital is on reachable area with metro  or car. doctor recommended some test to my relative it was all done successfully and easily and all payments done by mobile wallet which was very helpful.The doctors and staff give lots of time. the patient care patient care is superb. Very dedicated staff.This hospital is well maintained and clean.The hospital did have a bit of rush but the waiting area is spacious.Good place for public health care all basic health check up facilities available .I would highly recommended this hospital .,2.899999931
0,Manipal Hospital Delhi,Delhi,I visited this hospital for my fathers by pass surgery. He received the best medical treatment along with great human touch. Each and everyone in the support staff treated my father with utmost care and affection and always tried to cater us in the best possible way. Medical facilities are top notch and doctors are highly qualified and always advise me with the best possible solutions.,2.899999931
0,Fortis Medical Centre,Kolkata,My mother got her reroot canal treatment done here at Fortis Medical Centre Kolkata. The medical centre has a good team of doctors and staff. It is a wellequipped medical centre and my mothers treatment was carried out without any hassles. We strongly recommend this centre as we were impressed with the services.,2.800000012
0,DESUN Hospital And Heart Institute,Kolkata,DESUN Hospital And Heart Institute is one of the leading Nursing home in kolkata for Cardiac Care. All type of modern facilities are available in the hospital. 24 hours emergency facility are available. Good doctors Nurses  Supporting staffs. Rates are also reasonable.,2.800000012
0,Apollo Hospitals Tondiarpet,Chennai,No words to explain their medical service. Very nice doctors and all the staffs are very kind. A good multispeciality hospital in North chennai  a good place to treat emergency care. They provide very good treatment and very hygienic place.,2.799999952
0,Apollo Children's Hospitals - Best hospital in chennai,Chennai,One of the most expensive  best Childrens Hospital in Chennai India. There service is very good. The building consultation is very Beautiful too. There systems  rules make me glad.You can come here for your lovely Baby..,2.699999988
0,Woodlands Multispeciality Hospital Limited,Kolkata,This hospital saved my life. Dr Kalyan Sarkar in Urology is very good. Attendant food is excellent diabetic food is little bland to taste. Inpatient morning tea was nice breakfast lunch tea and dinner were served hot and wellstaffed with nurses who were attentive to buzzer for standard single room and changed bedsheets and did other duties with professionalism. Junior doctors pressurised me with upselling for heart bypass which was totally unrelated to my hospitalization reason. Price reasonable compared to Bellvue,2.699999988
0,Apollo Spectra Hospitals,Delhi,Apollo Spectra Hospitals services were excellent. Very professional staff doctors give time to patients...They are not in a hurry...Front office staff are courteous n prompt in services. Keep up d good job,2.699999928
0,Madhukar Rainbow Children's Hospital & BirthRight By Rainbow Hospitals,Delhi,Nice Hospital for kids and babies All medical facilities are available under one Roof. Its located in Malviya Nagar near Metro Station Gate no.1. The Doctors are good and experienced Nurses are also very caring and all the staffs are having excellent behaviour. Housekeeping staffs are also good and they use to clean Rooms Toilets and other areas of the Hospital frequently.People use to say Its expensive but in my opinion if u expect this kind of excellent service u have to pay for that.,2.600000001
0,AMRI Hospital Dhakuria,Kolkata,Had an amazing experience at one of the best hospitals in Kolkata. The doctors are good the food is delicious and the nurses and staff really made me feel at home. Hoping for a speedy recovery from my surgery.,2.599999964
0,Fortis Medical Centre,Kolkata,A really good medical centre. The staff here is friendly and doctors are available. Affordable and very well maintained.,2.599999964
0,AMRI Hospitals Saltlake Annexe,Kolkata,It is really one of the best hospitals in Kolkata. Good infrastructure and latest technology to treat different problems. The staff behaves very well and welcome patients in a positive way. It is my first preference whenever I suffer from a medical condition.,2.599999964
0,Apollo Speciality Hospitals,Chennai,Best hospital. Nice take care to patient. Very clean.,2.5
0,Manipal Hospital Delhi,Delhi,This is the best hospital. Very friendly staff and best doctors and treatment available at The Cheapest cost. All the best,2.5
0,SIMS Hospital,Chennai,Sims is centrally located at Vadapalani. Has a good reputation. They have emergency ward and ambulance service is also available. Yesterday I went there to visit someone and urgently needed to use the toilet. The toilet was locked. I asked the young boy at the reception what to do. To my pleasant surprise he came with me and guided me to a toilet inside the premises. Even that toilet was locked. Then he called an attender and told him to take me to a toilet that was unlocked and my problem was solved. What I actually expected was a brush off. The care this boy took was a pleasant change. But every rose has a thorn and the parking area attendants are exactly that. They seem to have employed all middle aged fat unwieldy parking attendants. They are lazy and disrespectful. I am sure the boss of the agency supplying the parking attendants must be exactly like them. That is why this attitude. No use blaming the attendants. Owners of the hospital must talk to the agency that supplies the parking attendants. Give me a like if my review was helpful guys... have a great day ,2.499999978
0,ILS Hospitals,Kolkata,ILS Hospital is one of the most advanced Nursing home in kolkata. All type of modern facilities are available in the hospital. Round the clock emergency facility are available. Good doctors Nurses  Supporting staffs. Nice experience.,2.499999978
0,Madhukar Rainbow Children's Hospital & BirthRight By Rainbow Hospitals,Delhi,The hospital is very clean and everyone was very professional. My friend gave birth to a baby boy last month there and the arrangement was excellent. One thing that caught my eyes and I would like to confirm it from you is that a physiotherapist is addressed as a Doctor in your hospital.  I guess only M.B.B.S passed doctors can only write Dr. before their name.,2.499999963
0,Fortis Medical Centre,Kolkata,Neat and clean. Managed professionaly. Seating and waiting arrangements cosy and comfortable.,2.49999994
0,AMRI Hospitals Saltlake Annexe,Kolkata,Best hospital in Kolkata. Here quality health care facility available.  Service is very transparent and if you are going through any treatment they explain and brief you on each every steps. Doctors and nurses are very polite and helpful.,2.399999991
0,AMRI Hospital Mukundapur,Kolkata,I cant remember who treated my friend last time but the doctor was very efficient. AMRI Hospitals Mukundapur is a good healthcare provider and their doctors are experienced. They are brilliant with their treatment.,2.399999976
0,Indraprastha Apollo Hospital,Delhi,Best hospital for quality treatments in a very neat and clean environment. Almost all common departments working on 24x7x365 basis with specialist physicians.Spacious restroom facilities good quality ambulance service area for worships are also available on a single roof.Located on the ChennaiDelhi Mathura Road and near violet line metro station Jasola Apollo.Four sides open area attached park Railway station and important office buildings nearby. Bank facilities are available inside the hospital campus. The area is also well connected with Noida.,2.399999976
0,Aashlok Fortis Hospital,Delhi,The Aashlok Hospital which is a fortis associate has been a blessing for our neighbourhood. While there are several big hospitals nearby it is Aashlok Hospital that most of us go to in case of any medical issues. The doctors and staff at the hospital are really good and friendly with the patients. All in all Aashlok is a good hospital.,2.399999954
0,AMRI Hospital Dhakuria,Kolkata,The hospital is good for checkups. It provides discounts and has all the latest facilities for the convenience of patients as well as the medics. I was admitted in the hospital last year for 2 days. The staff took good care of me. Thanks,2.300000027
0,Dr. Mehta's Hospitals,Chennai,Customer care support helps me lot. Thank you Kamini for your kind support at all the time. Kind and friendly service. Best hospital.,2.300000012
0,Aashlok Fortis Hospital,Delhi,Fortis Aashlok Hospital in Safdarjung Enclave to my knowledge has specialized medical staff which works 247 to provide acute and chronic care. The hospital offers top diagnostic treatment and therapeutic care and access to the most advanced health care services at costeffective prices. I have been going here for 3 years now and I personally feel that the hospital offers good diagnostic consultative and operative care.,2.300000012
0,FORTIS MALAR HOSPITAL CHENNAI,Chennai,My mother was admitted for fever. She is immobile. The care given by the nurses was excellent. We felt that we are at home. Excellent nursing staff. The doctor explained us very clearly with more clarity on how her treatment would be as my mother is completely  bed ridden.,2.29999999
0,"Columbia Asia Hospital Salt Lake, Kolkata",Kolkata,A very good hospital. Sought treatment from the orthopaedic unit and was very satisfied. The hospital is very clean. The staff was very helpful.The hospital however lacks inhouse MRI facility but has tieup with Apollo Clinic. The emergency ward was a little disappointing compared rest of the hospital departments.,2.199999988
0,Indraprastha Apollo Hospital,Delhi,The hospital is very good in its services and maintenance. The staff is very sensible to their work. All the doctors are well experienced and professional. All are dedicated to their work.,2.199999988
0,Cloudnine Hospital - Chennai,Chennai,I enjoyed my stay at the hospital is like a hotel. Everything is brilliant I am a happy customer (they call us as guest). Keep up the good work team.,2.199999958
0,Dharamshila Narayana Superspeciality Hospital,Delhi,Had initially came to this place because of its location. Once here was deeply impressed by the pleasant ambience and its caring Doctors and staff. Today on the  eve of my wifes discharge we feel the pain of separation of close family and friends. I would like to put on record the service being rendered by the Oncologists in this hospital. May God bless the institution and its people. Its the best Cancer hospital in East Delhi.,2.099999994
0,Cloudnine Hospital - Chennai,Chennai,Cloudnine with Best Drs in the city.  Dr Kanimozhi is the one who gave us normal delivery when we had cesarean four years before. Blessed with girls baby. Thank you guys,1.999999955
0,Moolchand Medcity,Delhi,I am coming for my  mother treatment for last 1 month for Cardiovascular problem. My mother has been meticulously  diagnosed  and treated  in a very effective manner at Moolchand Medcity. I find the  medical  care provided by Dr .H.K. Chopra is very effective and I feeling much better and I find the management and hospitality of this hospital is highly satisfactory.,1.999999955
0,Primus Super Speciality Hospital,Delhi,The pool of doctors is very cooperative and understanding. Visited there with a friend. The Hospital staff was very helpful in the need of hour.,1.999999955
0,Apollo Children's Hospitals - Best hospital in chennai,Chennai,Met Dr.Vignesh (Pediatrician) for an emergency  for my two year old. he is the best doctor whom I have met so far. Smiling face for any number of questions. Clearly explained what needs to be done with patience. Thanks a lot for your care  ,1.900000043
0,"Max Super Speciality Hospital, Saket (Max Saket)",Delhi,The thing I respect are doctors to be honest. Any stars a man would give are for them they are truly great people who sacrafice so much for the sake of humanitys benefit. Dr. Rajneesh Malhotra is one such good man..About corporate medicine  I think the managers and executives are no better than parasites living off doctors. They really are  not needed between the doctor and a patient and thay are the reason that Healthcare is becoming expensive and unaffordable. It may rever back though to its origins soon  that of highly educated and dedicated people dedicated to helping their patients and humanity i general.,1.900000028
0,Primus Super Speciality Hospital,Delhi,I had a satisfactory experience at Primus Hospital. It is well organized and the staff is very friendly and caring. Thanks to the team of Doctors for all their guidance and help.,1.900000006
0,Tamil Nadu Government Multi Super Speciality Hospital,Chennai,Been to the place for Medical counselling. The place is well maintained. It has a waiting hall and a small canteen. Havent explored much inside the building.,1.899999976
0,AMRI Hospital Mukundapur,Kolkata,I visited with my family member for kidney check up. But the doctor shows us positive attitude. Very polite nature. He checked properly. Totally Satisfied.,1.899999961
0,Indraprastha Apollo Hospital,Delhi,Best hospital in whole city of delhi. last month i had my limbs fracture surgery.. its very cheap ans easy.. amazing.,1.899999954
0,"Narayana Multispeciality Hospital, Barasat",Kolkata,Good treatment. Cashless under West Bengal Health Scheme treatment done for my father. Nice diagnosis of doctors.,1.79999999
0,Fortis Flt. Lt. Rajan Dhall Hospital,Delhi,The overall services of staff was excellent. The nurses helpers and housekeeping staff were very prompt in their services. I have never had to wait for anything even in the middle of the night. The doctors visited me regularly and took time out to listen to whatever I had to say.,1.799999982
0,Apollo Children's Hospitals - Best hospital in chennai,Chennai,Very very good time at the hospital.Doctors are very polite and very experiencednurses also very much better they know how to handle and control the baby patients. Radiology staffs very gentle.Help desk staffs also fantastic they provide very easy process to take the doctors appointment.,1.799999952
0,Dr. Mehta's Hospitals,Chennai,My sister was treated at this hospital and we had an excellent team who assisted us. All the staffs were friendly and gave guidance at every step we needed help .,1.799999952
0,MIOT International,Chennai,Even though i am just an attendant i have also experienced the excellent services given by everyone not only the medical professional but the administration and the other services like food and cleaners etc. within the hospital. I am definitely recommending this hospital to everyone back home because of the state of art medical technology they have and most of all the highest professional specialists .,1.799999952
0,MIOT International,Chennai,Most wonderful service provide by the nurse doctors and the maid. It was indeed a pleasant stay and everyone ensured that whilst  we stayed not only the treatment was taken care of but also they took care of our well being.Would highly recommend anyone to choose MIOT.,1.799999952
0,"Columbia Asia Hospital Salt Lake, Kolkata",Kolkata,Great place to work with.  All the staffs are very good and caring.. a proper and best place to get your treatment done with full attention and care...love to be a part of Columbia Asia Team. ,1.799999952
